LocalTime,Symbol,EventType,Side,FillSize,FillPrice,FillExchange,SymbolBought,SymbolSold,SymbolPosition,SymbolNotional,ExchangeBought,ExchangeSold,TotalBought,TotalSold,TotalBoughtNotional,TotalSoldNotional
9:30:00.000,AES,TRADE,t,100,11.14,NYSE,0,100,-100,1114.0,0,100,0,100,0,1114.0
9:30:16.000,AES,TRADE,b,100,11.16,NASDAQ,100,100,0,1116.0,100,0,100,100,1116.0,1114.0
9:31:02.000,CX,TRADE,b,100,7.50,NASDAQ,100,0,100,750.0,200,0,200,100,750.0,1114.0
9:31:10.000,CX,TRADE,t,100,7.51,NASDAQ,100,100,0,751.0,200,100,200,200,750.0,751.0
9:32:04.000,CX,TRADE,b,200,7.50,NASDAQ,300,100,200,1500.0,400,100,400,200,1500.0,751.0
9:32:33.000,CX,TRADE,t,100,7.50,NASDAQ,300,200,100,750.0,400,200,400,300,1500.0,750.0
9:33:01.000,CX,TRADE,t,200,7.48,NASDAQ,300,400,-100,1496.0,400,400,400,500,1500.0,1496.0
9:33:30.000,AIG,TRADE,t,100,56.40,NASDAQ,0,100,-100,5640.0,400,500,400,600,1500.0,5640.0
9:33:33.000,AIG,TRADE,t,100,56.39,NYSE,0,200,-200,5639.0,0,200,400,700,1500.0,5639.0
9:33:56.000,AIG,TRADE,b,100,56.38,NASDAQ,100,200,-100,5638.0,500,500,500,700,5638.0,5639.0
9:34:18.000,AIG,TRADE,b,100,56.38,NASDAQ,200,200,0,5638.0,600,500,600,700,5638.0,5639.0
9:34:53.000,AIG,TRADE,t,100,56.40,NASDAQ,200,300,-100,5640.0,600,600,600,800,5638.0,5640.0
9:35:52.000,RPY,TRADE,b,7112,5.75,NYSE,7112,0,7112,40894.0,7112,200,7712,800,40894.0,5640.0
9:36:37.000,RPY,TRADE,b,7112,5.75,NYSE,14224,0,14224,40894.0,14224,200,14824,800,40894.0,5640.0
9:37:31.000,RPY,TRADE,b,78235,5.75,NYSE,92459,0,92459,449851.25,92459,200,93059,800,449851.25,5640.0
9:37:53.000,RPY,TRADE,b,64010,5.75,NASDAQ,156469,0,156469,368057.5,64610,600,157069,800,368057.5,5640.0
9:38:48.000,RPY,TRADE,t,7112,5.76,NASDAQ,156469,7112,149357,40965.12,64610,7712,157069,7912,368057.5,40965.12
9:39:37.000,RPY,TRADE,b,7112,5.76,NYSE,163581,7112,156469,40965.12,99571,200,164181,7912,40965.12,40965.12
9:39:39.000,RPY,TRADE,b,28449,5.76,NYSE,192030,7112,184918,163866.24,128020,200,192630,7912,163866.24,40965.12
9:40:28.000,RPY,TRADE,b,7112,5.75,NASDAQ,199142,7112,192030,40894.0,71722,7712,199742,7912,40894.0,40965.12
9:41:24.000,RPY,TRADE,t,78235,5.76,NASDAQ,199142,85347,113795,450633.6,71722,85947,199742,86147,40894.0,450633.6
9:41:51.000,RPY,TRADE,b,924,5.75,NASDAQ,200066,85347,114719,5313.0,72646,85947,200666,86147,5313.0,450633.6
9:42:47.000,RPY,TRADE,b,7112,5.75,NYSE,207178,85347,121831,40894.0,135132,200,207778,86147,40894.0,450633.6
9:43:38.000,RPY,TRADE,b,7112,5.75,NYSE,214290,85347,128943,40894.0,142244,200,214890,86147,40894.0,450633.6
9:44:11.000,RPY,TRADE,b,78235,5.75,NYSE,292525,85347,207178,449851.25,220479,200,293125,86147,449851.25,450633.6
9:44:31.000,RPY,TRADE,b,64010,5.75,NASDAQ,356535,85347,271188,368057.5,136656,85947,357135,86147,368057.5,450633.6
9:44:35.000,RPY,TRADE,t,7112,5.76,NASDAQ,356535,92459,264076,40965.12,136656,93059,357135,93259,368057.5,40965.12
9:45:26.000,RPY,TRADE,b,7112,5.76,NYSE,363647,92459,271188,40965.12,227591,200,364247,93259,40965.12,40965.12
9:46:01.000,RPY,TRADE,b,28449,5.76,NYSE,392096,92459,299637,163866.24,256040,200,392696,93259,163866.24,40965.12
9:46:42.000,RPY,TRADE,b,7112,5.75,NASDAQ,399208,92459,306749,40894.0,143768,93059,399808,93259,40894.0,40965.12
9:46:54.000,RPY,TRADE,t,78235,5.76,NASDAQ,399208,170694,228514,450633.6,143768,171294,399808,171494,40894.0,450633.6
9:47:18.000,RPY,TRADE,b,924,5.75,NASDAQ,400132,170694,229438,5313.0,144692,171294,400732,171494,5313.0,450633.6
9:48:17.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,177806,222326,40965.12,144692,178406,400732,178606,5313.0,40965.12
9:48:45.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,184918,215214,40965.12,144692,185518,400732,185718,5313.0,40965.12
9:49:36.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,192030,208102,40965.12,144692,192630,400732,192830,5313.0,40965.12
9:49:41.000,RPY,TRADE,t,14224,5.75,NASDAQ,400132,206254,193878,81788.0,144692,206854,400732,207054,5313.0,81788.0
9:50:34.000,RPY,TRADE,s,28449,5.75,NYSE,400132,234703,165429,163581.75,256040,28649,400732,235503,5313.0,163581.75
9:51:06.000,RPY,TRADE,t,14224,5.75,NASDAQ,400132,248927,151205,81788.0,144692,221078,400732,249727,5313.0,81788.0
9:51:43.000,RPY,TRADE,s,7112,5.75,NASDAQ,400132,256039,144093,40894.0,144692,228190,400732,256839,5313.0,40894.0
9:51:52.000,RPY,TRADE,s,7112,5.75,NYSE,400132,263151,136981,40894.0,256040,35761,400732,263951,5313.0,40894.0
9:52:18.000,RPY,TRADE,s,14224,5.75,NASDAQ,400132,277375,122757,81788.0,144692,242414,400732,278175,5313.0,81788.0
9:53:14.000,RPY,TRADE,t,8036,5.76,NASDAQ,400132,285411,114721,46287.36,144692,250450,400732,286211,5313.0,46287.36
9:53:43.000,UGH,TRADE,t,7112,8.03,NASDAQ,0,7112,-7112,57109.36,144692,257562,400732,293323,5313.0,57109.36
9:53:49.000,UGH,TRADE,b,7112,8.03,NASDAQ,7112,7112,0,57109.36,151804,257562,407844,293323,57109.36,57109.36
9:54:37.000,W,TRADE,t,7112,6.00,NYSE,0,7112,-7112,42672.0,256040,42873,407844,300435,57109.36,42672.0
9:55:10.000,W,TRADE,b,7112,6.00,NASDAQ,7112,7112,0,42672.0,158916,257562,414956,300435,42672.0,42672.0
9:56:07.000,W,TRADE,t,7112,6.00,NASDAQ,7112,14224,-7112,42672.0,158916,264674,414956,307547,42672.0,42672.0
9:56:20.000,W,TRADE,b,7112,6.00,NASDAQ,14224,14224,0,42672.0,166028,264674,422068,307547,42672.0,42672.0
9:56:53.000,MK,TRADE,b,21336,2.52,NYSE,21336,0,21336,53766.72,277376,42873,443404,307547,53766.72,42672.0
9:57:49.000,MK,TRADE,b,7112,2.52,NYSE,28448,0,28448,17922.24,284488,42873,450516,307547,17922.24,42672.0
9:58:05.000,MK,TRADE,t,21336,2.53,NASDAQ,28448,21336,7112,53980.08,166028,286010,450516,328883,17922.24,53980.08
9:58:46.000,MK,TRADE,t,7112,2.53,NASDAQ,28448,28448,0,17993.36,166028,293122,450516,335995,17922.24,17993.36
9:59:42.000,LMA,TRADE,t,6472,5.78,NYSE,0,6472,-6472,37408.16,284488,49345,450516,342467,17922.24,37408.16
9:59:47.000,LMA,TRADE,t,640,5.78,NYSE,0,7112,-7112,3699.2,284488,49985,450516,343107,17922.24,3699.2
10:00:44.000,LMA,TRADE,b,7112,5.77,NASDAQ,7112,7112,0,41036.24,173140,293122,457628,343107,41036.24,3699.2
10:01:11.000,LMA,TRADE,b,7112,7.61,NASDAQ,14224,7112,7112,54122.32,180252,293122,464740,343107,54122.32,3699.2
10:01:42.000,LMA,TRADE,t,7112,7.61,NASDAQ,14224,14224,0,54122.32,180252,300234,464740,350219,54122.32,54122.32
10:02:13.000,ZEU,TRADE,b,7112,14.87,NASDAQ,7112,0,7112,105755.44,187364,300234,471852,350219,105755.44,54122.32
10:02:19.000,ZEU,TRADE,t,7112,14.87,NASDAQ,7112,7112,0,105755.44,187364,307346,471852,357331,105755.44,105755.44
10:02:39.000,RPY,TRADE,t,7112,5.82,NASDAQ,400132,292523,107609,41391.84,187364,314458,471852,364443,105755.44,41391.84
10:03:20.000,RPY,TRADE,b,7112,5.82,NASDAQ,407244,292523,114721,41391.84,194476,314458,478964,364443,41391.84,41391.84
10:03:34.000,LMA,TRADE,t,7112,20.95,NYSE,14224,21336,-7112,148996.4,284488,57097,478964,371555,41391.84,148996.4
10:04:32.000,LMA,TRADE,t,7112,20.95,NYSE,14224,28448,-14224,148996.4,284488,64209,478964,378667,41391.84,148996.4
10:04:45.000,LMA,TRADE,t,21336,20.95,NASDAQ,14224,49784,-35560,446989.2,194476,335794,478964,400003,41391.84,446989.2
